"ID";"Reason.for.absence";"Month.of.absence";"Day.of.the.week";"Seasons";"Transportation.expense";"Distance.from.Residence.to.Work";"Service.time";"Age";"Work.load.Average.day";"Hit.target";"Disciplinary.failure";"Education";"Son";"Social.drinker";"Social.smoker";"Pet";"Weight";"Height";"Body.mass.index";"ID.Worker";"Absenteeism"
"330";"330";28;11;5;4;179;51;18;38;284.031;97;0;1;0;1;0;0;89;170;31;3;FALSE
"332";"332";12;11;6;4;291;31;12;40;284.031;97;0;1;1;1;0;1;73;171;25;15;FALSE
"333";"333";13;11;2;4;246;25;16;41;284.031;97;0;1;0;1;0;0;67;170;23;24;TRUE
"334";"334";28;11;3;4;179;51;18;38;284.031;97;0;1;0;1;0;0;89;170;31;3;FALSE
"335";"335";10;11;4;4;260;50;11;36;284.031;97;0;1;4;1;0;0;65;168;23;20;TRUE
"337";"337";0;11;6;4;378;49;11;36;284.031;97;1;1;2;0;1;4;65;174;21;23;FALSE
"340";"340";12;12;2;4;225;26;9;28;236.629;93;0;1;1;0;0;2;69;169;24;28;FALSE
"341";"341";28;12;2;4;179;51;18;38;236.629;93;0;1;0;1;0;0;89;170;31;3;FALSE
"342";"342";28;12;2;4;179;51;18;38;236.629;93;0;1;0;1;0;0;89;170;31;3;FALSE
"343";"343";23;12;2;4;235;11;14;37;236.629;93;0;3;1;0;0;1;88;172;29;1;FALSE
"345";"345";28;12;6;4;260;50;11;36;236.629;93;0;1;4;1;0;0;65;168;23;20;FALSE
"347";"347";28;12;5;4;179;51;18;38;236.629;93;0;1;0;1;0;0;89;170;31;3;FALSE
"348";"348";28;12;6;4;179;51;18;38;236.629;93;0;1;0;1;0;0;89;170;31;3;FALSE
"350";"350";25;12;3;4;118;10;10;37;236.629;93;0;1;0;0;0;0;83;172;28;34;TRUE
"351";"351";25;12;5;4;235;11;14;37;236.629;93;0;3;1;0;0;1;88;172;29;1;FALSE
"352";"352";28;12;6;4;179;51;18;38;236.629;93;0;1;0;1;0;0;89;170;31;3;FALSE
"353";"353";13;12;3;2;235;20;13;43;236.629;93;0;1;1;1;0;0;106;167;38;5;TRUE
"355";"355";26;12;4;2;260;50;11;36;236.629;93;0;1;4;1;0;0;65;168;23;20;TRUE
"356";"356";28;12;2;2;157;27;6;29;236.629;93;0;1;0;1;1;0;75;185;22;30;FALSE
"357";"357";28;12;2;2;179;51;18;38;236.629;93;0;1;0;1;0;0;89;170;31;3;FALSE
"359";"359";23;1;4;2;225;26;9;28;330.061;100;0;1;1;0;0;2;69;169;24;28;FALSE
"360";"360";19;1;2;2;118;10;10;37;330.061;100;0;1;0;0;0;0;83;172;28;34;TRUE
"362";"362";13;1;3;2;235;11;14;37;330.061;100;0;3;1;0;0;1;88;172;29;1;FALSE
"363";"363";23;1;3;2;155;12;14;34;330.061;100;0;1;2;1;0;0;95;196;25;14;FALSE
"364";"364";26;1;2;2;289;36;13;33;330.061;100;0;1;2;1;0;1;90;172;30;11;TRUE
"365";"365";3;1;4;2;291;31;12;40;330.061;100;0;1;1;1;0;1;73;171;25;15;TRUE
"366";"366";26;1;2;2;235;20;13;43;330.061;100;0;1;1;1;0;0;106;167;38;5;TRUE
"368";"368";28;1;4;2;179;51;18;38;330.061;100;0;1;0;1;0;0;89;170;31;3;FALSE
"369";"369";28;1;6;2;179;51;18;38;330.061;100;0;1;0;1;0;0;89;170;31;3;FALSE
"370";"370";28;2;3;2;118;10;10;37;251.818;96;0;1;0;0;0;0;83;172;28;34;FALSE
"371";"371";27;2;4;2;179;51;18;38;251.818;96;0;1;0;1;0;0;89;170;31;3;FALSE
"372";"372";7;2;4;2;225;26;9;28;251.818;96;0;1;1;0;0;2;69;169;24;28;FALSE
"374";"374";28;2;6;2;260;50;11;36;251.818;96;0;1;4;1;0;0;65;168;23;20;FALSE
"375";"375";23;2;6;2;179;51;18;38;251.818;96;0;1;0;1;0;0;89;170;31;3;FALSE
"376";"376";27;2;2;2;179;51;18;38;251.818;96;0;1;0;1;0;0;89;170;31;3;FALSE
"377";"377";27;2;4;2;179;51;18;38;251.818;96;0;1;0;1;0;0;89;170;31;3;FALSE
"378";"378";10;2;5;2;179;51;18;38;251.818;96;0;1;0;1;0;0;89;170;31;3;TRUE
"379";"379";26;2;5;2;246;25;16;41;251.818;96;0;1;0;1;0;0;67;170;23;24;TRUE
"380";"380";27;2;6;2;179;51;18;38;251.818;96;0;1;0;1;0;0;89;170;31;3;FALSE
"383";"383";23;2;3;2;246;25;16;41;251.818;96;0;1;0;1;0;0;67;170;23;24;FALSE
"385";"385";11;2;4;2;157;27;6;29;251.818;96;0;1;0;1;1;0;75;185;22;30;TRUE
"386";"386";27;2;4;2;179;51;18;38;251.818;96;0;1;0;1;0;0;89;170;31;3;FALSE
"387";"387";27;2;6;2;179;51;18;38;251.818;96;0;1;0;1;0;0;89;170;31;3;FALSE
"388";"388";10;2;6;2;246;25;16;41;251.818;96;0;1;0;1;0;0;67;170;23;24;TRUE
"392";"392";19;3;4;2;246;25;16;41;244.387;98;0;1;0;1;0;0;67;170;23;24;TRUE
"393";"393";28;3;6;2;246;25;16;41;244.387;98;0;1;0;1;0;0;67;170;23;24;FALSE
"394";"394";28;3;6;2;260;50;11;36;244.387;98;0;1;4;1;0;0;65;168;23;20;FALSE
"395";"395";28;3;2;2;179;51;18;38;244.387;98;0;1;0;1;0;0;89;170;31;3;FALSE
"396";"396";22;3;2;2;235;11;14;37;244.387;98;0;3;1;0;0;1;88;172;29;1;TRUE
"397";"397";22;3;3;2;179;22;17;40;244.387;98;0;2;2;0;1;0;63;170;22;17;TRUE
"398";"398";22;3;3;2;378;49;11;36;244.387;98;0;1;2;0;1;4;65;174;21;23;TRUE
"399";"399";28;3;2;2;179;51;18;38;244.387;98;0;1;0;1;0;0;89;170;31;3;TRUE
"401";"401";0;3;4;2;369;17;12;31;244.387;98;1;1;3;1;0;0;70;169;25;13;FALSE
"403";"403";23;3;6;3;118;13;18;50;244.387;98;0;1;1;1;0;0;98;178;31;36;FALSE
"404";"404";14;3;3;3;118;13;18;50;244.387;98;0;1;1;1;0;0;98;178;31;36;FALSE
"407";"407";0;3;5;3;246;25;16;41;244.387;98;1;1;0;1;0;0;67;170;23;24;FALSE
"408";"408";0;3;5;3;118;13;18;50;244.387;98;1;1;1;1;0;0;98;178;31;36;FALSE
"409";"409";28;3;6;3;179;51;18;38;244.387;98;0;1;0;1;0;0;89;170;31;3;TRUE
"411";"411";19;3;2;3;260;50;11;36;244.387;98;0;1;4;1;0;0;65;168;23;20;TRUE
"412";"412";28;3;3;3;246;25;16;41;244.387;98;0;1;0;1;0;0;67;170;23;24;FALSE
"413";"413";28;4;4;3;179;51;18;38;239.409;98;0;1;0;1;0;0;89;170;31;3;FALSE
"414";"414";28;4;6;3;260;50;11;36;239.409;98;0;1;4;1;0;0;65;168;23;20;FALSE
"415";"415";26;4;6;3;330;16;4;28;239.409;98;0;2;0;0;0;0;84;182;25;18;FALSE
"417";"417";26;4;2;3;248;25;14;47;239.409;98;0;1;2;0;0;1;86;165;32;33;FALSE
"418";"418";23;4;4;3;330;16;4;28;239.409;98;0;2;0;0;0;0;84;182;25;18;TRUE
"421";"421";13;4;4;3;118;13;18;50;239.409;98;0;1;1;1;0;0;98;178;31;36;TRUE
"422";"422";28;4;6;3;300;26;13;43;239.409;98;0;1;2;1;1;1;77;175;25;26;TRUE
"423";"423";28;4;6;3;260;50;11;36;239.409;98;0;1;4;1;0;0;65;168;23;20;FALSE
"424";"424";28;4;2;3;179;51;18;38;239.409;98;0;1;0;1;0;0;89;170;31;3;FALSE
"425";"425";11;4;4;3;118;10;10;37;239.409;98;0;1;0;0;0;0;83;172;28;34;FALSE
"426";"426";13;5;2;3;235;20;13;43;246.074;99;0;1;1;1;0;0;106;167;38;5;TRUE
"427";"427";23;5;4;3;248;25;14;47;246.074;99;0;1;2;0;0;1;86;165;32;33;FALSE
"428";"428";10;5;2;3;369;17;12;31;246.074;99;0;1;3;1;0;0;70;169;25;13;TRUE
"429";"429";23;5;4;3;179;26;9;30;246.074;99;0;3;0;0;0;0;56;171;19;22;FALSE
"430";"430";28;5;4;3;179;51;18;38;246.074;99;0;1;0;1;0;0;89;170;31;3;FALSE
"431";"431";23;5;5;3;361;52;3;28;246.074;99;0;1;1;1;0;4;80;172;27;10;FALSE
"432";"432";28;5;6;3;260;50;11;36;246.074;99;0;1;4;1;0;0;65;168;23;20;FALSE
"434";"434";8;5;2;3;179;22;17;40;246.074;99;0;2;2;0;1;0;63;170;22;17;FALSE
"435";"435";18;5;4;3;228;14;16;58;246.074;99;0;1;2;0;0;1;65;172;22;9;TRUE
"436";"436";25;5;4;3;225;26;9;28;246.074;99;0;1;1;0;0;2;69;169;24;28;FALSE
"437";"437";13;5;6;3;330;16;4;28;246.074;99;0;2;0;0;0;0;84;182;25;18;TRUE
"438";"438";25;5;2;3;179;26;9;30;246.074;99;0;3;0;0;0;0;56;171;19;22;FALSE
"439";"439";28;5;2;3;118;10;10;37;246.074;99;0;1;0;0;0;0;83;172;28;34;FALSE
"440";"440";1;5;2;3;235;11;14;37;246.074;99;0;3;1;0;0;1;88;172;29;1;TRUE
"441";"441";23;5;4;3;179;26;9;30;246.074;99;0;3;0;0;0;0;56;171;19;22;FALSE
"442";"442";23;6;2;3;118;10;10;37;253.957;95;0;1;0;0;0;0;83;172;28;34;FALSE
"443";"443";28;6;2;3;179;51;18;38;253.957;95;0;1;0;1;0;0;89;170;31;3;FALSE
"445";"445";23;6;5;3;225;26;9;28;253.957;95;0;1;1;0;0;2;69;169;24;28;FALSE
"446";"446";28;6;6;3;260;50;11;36;253.957;95;0;1;4;1;0;0;65;168;23;20;FALSE
"448";"448";13;6;2;3;291;31;12;40;253.957;95;0;1;1;1;0;1;73;171;25;15;TRUE
"449";"449";28;6;2;3;179;51;18;38;253.957;95;0;1;0;1;0;0;89;170;31;3;TRUE
"450";"450";28;6;3;3;246;25;16;41;253.957;95;0;1;0;1;0;0;67;170;23;24;FALSE
"451";"451";28;6;2;3;179;51;18;38;253.957;95;0;1;0;1;0;0;89;170;31;3;FALSE
"452";"452";26;6;3;3;235;20;13;43;253.957;95;0;1;1;1;0;0;106;167;38;5;TRUE
"453";"453";28;6;2;1;179;51;18;38;253.957;95;0;1;0;1;0;0;89;170;31;3;FALSE
"454";"454";23;6;4;1;225;26;9;28;253.957;95;0;1;1;0;0;2;69;169;24;28;FALSE
"455";"455";23;6;4;1;118;13;18;50;253.957;95;0;1;1;1;0;0;98;178;31;36;FALSE
"456";"456";5;6;4;1;179;51;18;38;253.957;95;0;1;0;1;0;0;89;170;31;3;TRUE
"457";"457";21;6;4;1;179;26;9;30;253.957;95;0;3;0;0;0;0;56;171;19;22;FALSE
"458";"458";28;6;6;1;246;25;16;41;253.957;95;0;1;0;1;0;0;67;170;23;24;FALSE
"459";"459";11;6;3;1;330;16;4;28;253.957;95;0;2;0;0;0;0;84;182;25;18;FALSE
"460";"460";13;6;3;1;235;11;14;37;253.957;95;0;3;1;0;0;1;88;172;29;1;TRUE
"461";"461";23;7;5;1;179;26;9;30;230.29;92;0;3;0;0;0;0;56;171;19;22;FALSE
"462";"462";25;7;5;1;225;26;9;28;230.29;92;0;1;1;0;0;2;69;169;24;28;FALSE
"464";"464";7;7;2;1;268;11;8;33;230.29;92;0;2;0;0;0;0;79;178;25;21;TRUE
"465";"465";25;7;6;1;330;16;4;28;230.29;92;0;2;0;0;0;0;84;182;25;18;TRUE
"466";"466";26;7;6;1;118;10;10;37;230.29;92;0;1;0;0;0;0;83;172;28;34;TRUE
"467";"467";26;7;2;1;260;50;11;36;230.29;92;0;1;4;1;0;0;65;168;23;20;FALSE
"468";"468";28;7;3;1;118;10;10;37;230.29;92;0;1;0;0;0;0;83;172;28;34;TRUE
"469";"469";15;7;2;1;300;26;13;43;230.29;92;0;1;2;1;1;1;77;175;25;26;TRUE
"471";"471";28;7;3;1;246;25;16;41;230.29;92;0;1;0;1;0;0;67;170;23;24;FALSE
"472";"472";9;7;3;1;225;26;9;28;230.29;92;0;1;1;0;0;2;69;169;24;28;TRUE
"473";"473";28;7;3;1;179;51;18;38;230.29;92;0;1;0;1;0;0;89;170;31;3;FALSE
"474";"474";23;7;6;1;118;13;18;50;230.29;92;0;1;1;1;0;0;98;178;31;36;FALSE
"475";"475";22;7;6;1;361;52;3;28;230.29;92;0;1;1;1;0;4;80;172;27;10;TRUE
"476";"476";22;7;2;1;289;36;13;33;230.29;92;0;1;2;1;0;1;90;172;30;11;TRUE
"477";"477";26;7;2;1;235;20;13;43;230.29;92;0;1;1;1;0;0;106;167;38;5;TRUE
"478";"478";28;7;3;1;246;25;16;41;230.29;92;0;1;0;1;0;0;67;170;23;24;FALSE
"479";"479";28;7;5;1;291;31;12;40;230.29;92;0;1;1;1;0;1;73;171;25;15;FALSE
"480";"480";23;7;5;1;279;5;14;39;230.29;92;0;1;2;1;1;0;68;168;24;7;FALSE
"481";"481";25;8;5;1;179;51;18;38;249.797;93;0;1;0;1;0;0;89;170;31;3;FALSE
"482";"482";25;8;2;1;179;22;17;40;249.797;93;0;2;2;0;1;0;63;170;22;17;FALSE
"483";"483";28;8;3;1;246;25;16;41;249.797;93;0;1;0;1;0;0;67;170;23;24;FALSE
"485";"485";26;8;3;1;289;36;13;33;249.797;93;0;1;2;1;0;1;90;172;30;11;TRUE
"486";"486";26;8;3;1;235;20;13;43;249.797;93;0;1;1;1;0;0;106;167;38;5;TRUE
"487";"487";28;8;5;1;291;31;12;40;249.797;93;0;1;1;1;0;1;73;171;25;15;FALSE
"488";"488";25;8;2;1;179;51;18;38;249.797;93;0;1;0;1;0;0;89;170;31;3;FALSE
"489";"489";25;8;3;1;179;22;17;40;249.797;93;0;2;2;0;1;0;63;170;22;17;TRUE
"491";"491";23;8;3;1;235;11;14;37;249.797;93;0;3;1;0;0;1;88;172;29;1;FALSE
"492";"492";28;8;3;1;246;25;16;41;249.797;93;0;1;0;1;0;0;67;170;23;24;FALSE
"493";"493";28;8;3;1;118;10;10;37;249.797;93;0;1;0;0;0;0;83;172;28;34;FALSE
"494";"494";28;8;5;1;291;31;12;40;249.797;93;0;1;1;1;0;1;73;171;25;15;FALSE
"495";"495";28;8;2;1;260;50;11;36;249.797;93;0;1;4;1;0;0;65;168;23;20;FALSE
"496";"496";28;9;3;1;246;25;16;41;261.756;87;0;1;0;1;0;0;67;170;23;24;FALSE
"497";"497";28;9;3;1;246;25;16;41;261.756;87;0;1;0;1;0;0;67;170;23;24;FALSE
"498";"498";28;9;3;1;118;10;10;37;261.756;87;0;1;0;0;0;0;83;172;28;34;FALSE
"500";"500";28;9;5;1;291;31;12;40;261.756;87;0;1;1;1;0;1;73;171;25;15;FALSE
"501";"501";23;9;6;1;179;26;9;30;261.756;87;0;3;0;0;0;0;56;171;19;22;TRUE
"502";"502";23;9;6;1;248;25;14;47;261.756;87;0;1;2;0;0;1;86;165;32;33;FALSE
"503";"503";23;9;2;1;179;51;18;38;261.756;87;0;1;0;1;0;0;89;170;31;3;FALSE
"504";"504";23;9;4;1;225;26;9;28;261.756;87;0;1;1;0;0;2;69;169;24;28;FALSE
"505";"505";23;9;2;1;179;26;9;30;261.756;87;0;3;0;0;0;0;56;171;19;22;FALSE
"506";"506";23;9;3;4;369;17;12;31;261.756;87;0;1;3;1;0;0;70;169;25;13;TRUE
"508";"508";4;10;5;4;289;48;29;49;284.853;91;0;1;0;0;0;2;108;172;36;32;FALSE
"509";"509";11;10;5;4;235;16;8;32;284.853;91;0;3;0;0;0;0;75;178;25;25;FALSE
"510";"510";26;10;6;4;246;25;16;41;284.853;91;0;1;0;1;0;0;67;170;23;24;TRUE
"511";"511";14;10;4;4;289;48;29;49;284.853;91;0;1;0;0;0;2;108;172;36;32;FALSE
"512";"512";28;10;4;4;291;31;12;40;284.853;91;0;1;1;1;0;1;73;171;25;15;FALSE
"513";"513";23;10;3;4;118;10;10;37;284.853;91;0;1;0;0;0;0;83;172;28;34;FALSE
"514";"514";23;10;5;4;289;48;29;49;284.853;91;0;1;0;0;0;2;108;172;36;32;FALSE
"515";"515";23;10;6;4;291;31;12;40;284.853;91;0;1;1;1;0;1;73;171;25;15;FALSE
"516";"516";23;10;3;4;225;26;9;28;284.853;91;0;1;1;0;0;2;69;169;24;28;FALSE
"517";"517";23;10;3;4;369;17;12;31;284.853;91;0;1;3;1;0;0;70;169;25;13;TRUE
"518";"518";23;10;3;4;369;17;12;31;284.853;91;0;1;3;1;0;0;70;169;25;13;FALSE
"519";"519";23;10;3;4;225;26;9;28;284.853;91;0;1;1;0;0;2;69;169;24;28;FALSE
"520";"520";26;10;3;4;369;17;12;31;284.853;91;0;1;3;1;0;0;70;169;25;13;TRUE
"521";"521";28;10;4;4;179;51;18;38;284.853;91;0;1;0;1;0;0;89;170;31;3;FALSE
"522";"522";1;10;4;4;228;14;16;58;284.853;91;0;1;2;0;0;1;65;172;22;9;FALSE
"525";"525";13;10;5;4;225;26;9;28;284.853;91;0;1;1;0;0;2;69;169;24;28;FALSE
"526";"526";10;10;6;4;369;17;12;31;284.853;91;0;1;3;1;0;0;70;169;25;13;TRUE
"527";"527";10;10;6;4;225;26;9;28;284.853;91;0;1;1;0;0;2;69;169;24;28;FALSE
"528";"528";23;10;2;4;189;29;13;33;284.853;91;0;1;2;0;0;2;69;167;25;6;TRUE
"529";"529";6;10;2;4;235;16;8;32;284.853;91;0;3;0;0;0;0;75;178;25;25;TRUE
"530";"530";10;10;2;4;248;25;14;47;284.853;91;0;1;2;0;0;1;86;165;32;33;TRUE
"531";"531";0;10;2;4;225;26;9;28;284.853;91;1;1;1;0;0;2;69;169;24;28;FALSE
"532";"532";13;10;3;4;225;26;9;28;284.853;91;0;1;1;0;0;2;69;169;24;28;FALSE
"533";"533";21;11;3;4;179;51;18;38;268.519;93;0;1;0;1;0;0;89;170;31;3;FALSE
"534";"534";28;11;4;4;118;10;10;37;268.519;93;0;1;0;0;0;0;83;172;28;34;FALSE
"535";"535";2;11;4;4;330;16;4;28;268.519;93;0;2;0;0;0;0;84;182;25;18;TRUE
"536";"536";28;11;6;4;179;51;18;38;268.519;93;0;1;0;1;0;0;89;170;31;3;FALSE
"537";"537";9;11;3;4;118;10;10;37;268.519;93;0;1;0;0;0;0;83;172;28;34;TRUE
"538";"538";24;11;4;4;289;36;13;33;268.519;93;0;1;2;1;0;1;90;172;30;11;TRUE
"539";"539";1;11;6;4;235;16;8;32;268.519;93;0;3;0;0;0;0;75;178;25;25;TRUE
"540";"540";23;11;6;4;225;26;9;28;268.519;93;0;1;1;0;0;2;69;169;24;28;FALSE
"542";"542";28;11;4;4;291;31;12;40;268.519;93;0;1;1;1;0;1;73;171;25;15;FALSE
"543";"543";13;11;5;4;118;10;10;37;268.519;93;0;1;0;0;0;0;83;172;28;34;FALSE
"544";"544";14;11;5;4;225;26;9;28;268.519;93;0;1;1;0;0;2;69;169;24;28;FALSE
"546";"546";23;11;2;4;118;10;10;37;268.519;93;0;1;0;0;0;0;83;172;28;34;TRUE
"547";"547";8;11;3;4;118;10;10;37;268.519;93;0;1;0;0;0;0;83;172;28;34;TRUE
"548";"548";23;11;3;4;225;26;9;28;268.519;93;0;1;1;0;0;2;69;169;24;28;FALSE
"549";"549";0;11;3;4;291;31;12;40;268.519;93;1;1;1;1;0;1;73;171;25;15;FALSE
"550";"550";0;11;4;4;289;36;13;33;268.519;93;1;1;2;1;0;1;90;172;30;11;FALSE
"551";"551";14;11;5;4;248;25;14;47;268.519;93;0;1;2;0;0;1;86;165;32;33;FALSE
"552";"552";0;11;5;4;235;20;13;43;268.519;93;1;1;1;1;0;0;106;167;38;5;FALSE
"555";"555";28;11;2;4;361;52;3;28;268.519;93;0;1;1;1;0;4;80;172;27;10;FALSE
"556";"556";13;12;3;4;179;51;18;38;280.549;98;0;1;0;1;0;0;89;170;31;3;TRUE
"557";"557";28;12;4;4;291;31;12;40;280.549;98;0;1;1;1;0;1;73;171;25;15;FALSE
"558";"558";23;12;4;4;225;26;9;28;280.549;98;0;1;1;0;0;2;69;169;24;28;FALSE
"559";"559";13;12;6;4;179;26;9;30;280.549;98;0;3;0;0;0;0;56;171;19;22;FALSE
"560";"560";23;12;6;4;225;26;9;28;280.549;98;0;1;1;0;0;2;69;169;24;28;FALSE
"561";"561";23;12;4;4;225;26;9;28;280.549;98;0;1;1;0;0;2;69;169;24;28;FALSE
"562";"562";14;12;5;4;361;52;3;28;280.549;98;0;1;1;1;0;4;80;172;27;10;FALSE
"565";"565";18;12;2;4;233;51;1;31;280.549;98;0;2;1;1;0;8;68;178;21;12;TRUE
"566";"566";13;12;3;4;179;26;9;30;280.549;98;0;3;0;0;0;0;56;171;19;22;TRUE
"568";"568";23;12;5;4;225;26;9;28;280.549;98;0;1;1;0;0;2;69;169;24;28;FALSE
"571";"571";12;1;2;2;179;26;9;30;313.532;96;0;3;0;0;0;0;56;171;19;22;TRUE
"572";"572";12;1;5;2;179;26;9;30;313.532;96;0;3;0;0;0;0;56;171;19;22;TRUE
"573";"573";25;1;5;2;179;22;17;40;313.532;96;0;2;2;0;1;0;63;170;22;17;FALSE
"574";"574";25;1;6;2;179;22;17;40;313.532;96;0;2;2;0;1;0;63;170;22;17;FALSE
"575";"575";13;1;2;2;179;26;9;30;313.532;96;0;3;0;0;0;0;56;171;19;22;FALSE
"576";"576";25;1;4;2;179;22;17;40;313.532;96;0;2;2;0;1;0;63;170;22;17;FALSE
"577";"577";10;1;5;2;289;48;29;49;313.532;96;0;1;0;0;0;2;108;172;36;32;TRUE
"578";"578";18;1;6;2;179;22;17;40;313.532;96;0;2;2;0;1;0;63;170;22;17;FALSE
"579";"579";27;1;2;2;179;26;9;30;313.532;96;0;3;0;0;0;0;56;171;19;22;FALSE
"580";"580";18;1;3;2;155;12;14;34;313.532;96;0;1;2;1;0;0;95;196;25;14;TRUE
"581";"581";27;1;4;2;179;26;9;30;313.532;96;0;3;0;0;0;0;56;171;19;22;FALSE
"582";"582";27;1;4;2;179;51;18;38;313.532;96;0;1;0;1;0;0;89;170;31;3;FALSE
"583";"583";13;1;4;2;289;36;13;33;313.532;96;0;1;2;1;0;1;90;172;30;11;TRUE
"584";"584";27;1;5;2;179;51;18;38;313.532;96;0;1;0;1;0;0;89;170;31;3;FALSE
"585";"585";27;1;6;2;179;51;18;38;313.532;96;0;1;0;1;0;0;89;170;31;3;FALSE
"586";"586";13;2;3;2;179;51;18;38;264.249;97;0;1;0;1;0;0;89;170;31;3;TRUE
"587";"587";23;2;3;2;225;26;9;28;264.249;97;0;1;1;0;0;2;69;169;24;28;FALSE
"588";"588";1;2;4;2;248;25;14;47;264.249;97;0;1;2;0;0;1;86;165;32;33;TRUE
"589";"589";27;2;4;2;179;51;18;38;264.249;97;0;1;0;1;0;0;89;170;31;3;FALSE
"590";"590";28;2;5;2;225;26;9;28;264.249;97;0;1;1;0;0;2;69;169;24;28;FALSE
"591";"591";27;2;5;2;179;51;18;38;264.249;97;0;1;0;1;0;0;89;170;31;3;FALSE
"592";"592";27;2;5;2;179;26;9;30;264.249;97;0;3;0;0;0;0;56;171;19;22;FALSE
"593";"593";28;2;6;2;225;15;15;41;264.249;97;0;4;2;1;0;2;94;182;28;29;FALSE
"594";"594";27;2;6;2;179;51;18;38;264.249;97;0;1;0;1;0;0;89;170;31;3;FALSE
"595";"595";19;2;2;2;233;51;1;31;264.249;97;0;2;1;1;0;8;68;178;21;12;FALSE
"596";"596";27;2;2;2;179;51;18;38;264.249;97;0;1;0;1;0;0;89;170;31;3;FALSE
"598";"598";27;2;4;2;179;51;18;38;264.249;97;0;1;0;1;0;0;89;170;31;3;FALSE
"599";"599";27;2;5;2;179;51;18;38;264.249;97;0;1;0;1;0;0;89;170;31;3;FALSE
"600";"600";25;2;5;2;225;26;9;28;264.249;97;0;1;1;0;0;2;69;169;24;28;FALSE
"601";"601";13;2;5;2;179;26;9;30;264.249;97;0;3;0;0;0;0;56;171;19;22;FALSE
"602";"602";23;2;6;2;179;22;17;40;264.249;97;0;2;2;0;1;0;63;170;22;17;FALSE
"604";"604";12;2;4;2;233;51;1;31;264.249;97;0;2;1;1;0;8;68;178;21;12;FALSE
"606";"606";27;2;4;2;179;51;18;38;264.249;97;0;1;0;1;0;0;89;170;31;3;FALSE
"607";"607";13;2;5;2;179;51;18;38;264.249;97;0;1;0;1;0;0;89;170;31;3;TRUE
"609";"609";25;2;2;2;155;12;14;34;264.249;97;0;1;2;1;0;0;95;196;25;14;FALSE
"610";"610";25;2;2;2;235;16;8;32;264.249;97;0;3;0;0;0;0;75;178;25;25;FALSE
"611";"611";27;2;2;2;179;51;18;38;264.249;97;0;1;0;1;0;0;89;170;31;3;FALSE
"612";"612";7;2;2;2;225;26;9;28;264.249;97;0;1;1;0;0;2;69;169;24;28;FALSE
"613";"613";27;2;3;2;179;51;18;38;264.249;97;0;1;0;1;0;0;89;170;31;3;FALSE
"614";"614";23;2;3;2;248;25;14;47;264.249;97;0;1;2;0;0;1;86;165;32;33;FALSE
"615";"615";25;2;3;2;225;26;9;28;264.249;97;0;1;1;0;0;2;69;169;24;28;FALSE
"616";"616";27;2;4;2;179;51;18;38;264.249;97;0;1;0;1;0;0;89;170;31;3;FALSE
"617";"617";27;2;5;2;179;51;18;38;264.249;97;0;1;0;1;0;0;89;170;31;3;FALSE
"619";"619";27;3;2;2;179;51;18;38;222.196;99;0;1;0;1;0;0;89;170;31;3;FALSE
"621";"621";25;3;3;2;228;14;16;58;222.196;99;0;1;2;0;0;1;65;172;22;9;FALSE
"622";"622";25;3;3;2;248;25;14;47;222.196;99;0;1;2;0;0;1;86;165;32;33;FALSE
"623";"623";12;3;3;2;228;14;16;58;222.196;99;0;1;2;0;0;1;65;172;22;9;TRUE
"624";"624";27;3;4;2;179;51;18;38;222.196;99;0;1;0;1;0;0;89;170;31;3;FALSE
"625";"625";27;3;5;2;225;26;9;28;222.196;99;0;1;1;0;0;2;69;169;24;28;FALSE
"626";"626";27;3;5;2;179;51;18;38;222.196;99;0;1;0;1;0;0;89;170;31;3;FALSE
"627";"627";25;3;5;2;225;26;9;28;222.196;99;0;1;1;0;0;2;69;169;24;28;FALSE
"628";"628";27;3;6;2;179;26;9;30;222.196;99;0;3;0;0;0;0;56;171;19;22;FALSE
"631";"631";13;3;3;2;179;51;18;38;222.196;99;0;1;0;1;0;0;89;170;31;3;TRUE
"633";"633";27;3;5;2;179;51;18;38;222.196;99;0;1;0;1;0;0;89;170;31;3;FALSE
"634";"634";27;3;6;2;179;26;9;30;222.196;99;0;3;0;0;0;0;56;171;19;22;FALSE
"635";"635";10;3;2;2;179;51;18;38;222.196;99;0;1;0;1;0;0;89;170;31;3;FALSE
"636";"636";13;3;2;2;248;25;14;47;222.196;99;0;1;2;0;0;1;86;165;32;33;FALSE
"637";"637";27;3;2;2;179;51;18;38;222.196;99;0;1;0;1;0;0;89;170;31;3;FALSE
"638";"638";7;3;2;2;225;26;9;28;222.196;99;0;1;1;0;0;2;69;169;24;28;TRUE
"640";"640";23;3;4;2;289;36;13;33;222.196;99;0;1;2;1;0;1;90;172;30;11;TRUE
"641";"641";25;3;4;2;228;14;16;58;222.196;99;0;1;2;0;0;1;65;172;22;9;FALSE
"642";"642";27;3;4;2;179;51;18;38;222.196;99;0;1;0;1;0;0;89;170;31;3;FALSE
"643";"643";23;3;5;2;248;25;14;47;222.196;99;0;1;2;0;0;1;86;165;32;33;FALSE
"644";"644";27;3;5;2;179;51;18;38;222.196;99;0;1;0;1;0;0;89;170;31;3;FALSE
"645";"645";23;3;6;2;179;26;9;30;222.196;99;0;3;0;0;0;0;56;171;19;22;FALSE
"646";"646";27;3;6;2;179;51;18;38;222.196;99;0;1;0;1;0;0;89;170;31;3;FALSE
